action_id,action_group_id,action,type1,subtype,ft,points,type2,subtype,ft,points,type3,subtype,ft,points,isDefault,FLAG
1,1,<player1> goal tending violation,?,,-1,-1,,,-1,-1,,,-1,-1,1,
2,1,<player1> goaltending violation,?,,-1,-1,,,-1,-1,,,-1,-1,0,
3,1,<player1> goaltending,?,,-1,-1,,,-1,-1,,,-1,-1,0,
4,4,nenˆ  makes 14-foot jumper (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,1,1
5,4,nenˆ  makes 15-foot jumper (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,1
6,4,nenˆ  makes 21-foot jumper (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,1
7,4,nenˆ  makes 4-foot two point shot (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,1
8,4,makes   (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,
9,4,nenê  makes 14-foot jumper (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,
10,4,nenê  makes 15-foot jumper (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,
11,4,nenê  makes 21-foot jumper (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,
12,4,nenê  makes 4-foot two point shot (<player1> assists),assist,,-1,-1,,,-1,-1,,,-1,-1,0,
13,13,<player1>  blocks <player2>'s  jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,1,
14,13,<player1>  blocks <player2>'s  shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
15,13,<player1> blocks <player2> jump shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
16,13,<player1> blocks <player2> 's  jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
17,13,<player1> blocks <player2>'s,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
18,13,<player1> blocks <player2>'s  hook shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
19,13,<player1> blocks <player2>'s  jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
20,13,<player1> blocks <player2>'s  shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
21,13,<player1> blocks <player2>'s  two point shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
22,13,<player1> blocks <player2>'s hook shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
23,13,<player1> blocks <player2>'s jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
24,13,<player1> blocks <player2>'s running jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
25,13,<player1> blocks <player2>'s tip shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
26,13,<player1> blocks <player2>'s two point shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
